"jahr","straftat","anzahl"
"2012","Urkundenfälschung (Art. 251)",85
"2012","Geldwäscherei (Art. 305bis)",0
"2012","Einschleichdiebstahl (Art. 139)",152
"2012","Fahrlässige Körperverletzung (Art. 125)",15
"2012","Hausfriedensbruch (Art. 186)",82
"2012","Einfache Körperverletzung (Art. 123)",98
"2012","Beschimpfung (Art. 177)",38
"2012","Pornografie (Art. 197)",17
"2012","Ungehorsam gegen amtliche Verfügungen (Art. 292)",41
"2012","Unterlassung der Buchführung (Art. 166)",7
"2012","Drohung (Art. 180)",111
"2012","Taschendiebstahl (Art. 139)",280
"2012","Fahrzeugeinbruchdiebstahl (Art. 139)",151
"2012","Erschleichen einer Leistung (Art. 150)",0
"2012","Gewalt + Drohung gegen Behörden + Beamte (Art. 285)",51
"2012","Ordnungswidrige Führung der Geschäftsbücher (Art. 325)",6
"2012","Veruntreuung (Art. 138)",41
"2012","Unrechtmässige Aneignung (Art. 137)",20
"2012","Fälschung von Ausweisen (Art. 252)",12
"2012","Nötigung (Art. 181)",40
"2012","Misswirtschaft (Art. 165)",2
"2012","Verletzung des Schriftgeheimnisses (Art. 179)",4
"2012","Missbrauch einer Fernmeldeanlage (Art. 179septies)",21
"2012","Sexuelle Belästigungen (Art. 198)",33
"2012","Datenbeschädigung (Art. 144bis)",12
"2012","Erpressung (Art. 156)",10
"2012","Beteiligung Angriff (Art. 134)",11
"2012","Verletzung des Geheim- oder Privatbereichs durch Aufnahmegeräte (Art. 179quater)",10
"2012","Sexuelle Handlungen mit Kindern (Art. 187)",22
"2012","Raub (Art. 140)",28
"2012","Hinderung einer Amtshandlung (Art. 286)",29
"2012","Ungehorsam des Schuldners im Betreibungs- + Konkursverfahren (Art. 323)",22
"2012","Ungetreue Geschäftsbesorgung (Art. 158)",7
"2012","Fahrlässige Verursachung einer Feuersbrunst (Art. 222)",12
"2012","Sachentziehung (Art. 141)",17
"2012","Verleumdung (Art. 174)",9
"2012","Trickdiebstahl (Art. 139)",53
"2012","Beteiligung Raufhandel (Art. 133)",4
"2012","Üble Nachrede (Art. 173)",8
"2012","Hehlerei (Art. 160)",14
"2012","Erschleichung einer falschen Beurkundung (Art. 253)",4
"2012","Gefährdung des Lebens (Art. 129)",19
"2012","Zechprellerei (Art. 149)",6
"2012","Vergewaltigung (Art. 190)",9
"2012","Unwahre Angaben gegenüber Handelsregisterbehörden (Art. 153)",4
"2012","Amtsanmassung (Art. 287)",0
"2012","Unbefugtes Eindringen in ein Datenverarbeitungssystem (Art. 143bis)",8
"2012","Falsche Anschuldigung (Art. 303)",9
"2012","Arglistige Vermögensschädigung (Art. 151)",2
"2012","Exhibitionismus (Art. 194)",13
"2012","Verfügung über mit Beschlag belegte Vermögenswerte (Art. 169)",5
"2012","Schändung (Art. 191)",1
"2012","Schwere Körperverletzung (Art. 122)",11
"2012","Tötungsdelikte (Art. 111 - 113/116)",1
"2012","Falscher Alarm (Art. 128bis)",3
"2012","Entreissdiebstahl (Art. 139)",4
"2012","Irreführung der Rechtspflege (Art. 304)",4
"2012","Freiheitsberaubung/Entführung (Art. 183)",11
"2012","Brandstiftung (Art. 221)",4
"2012","Betrügerischer Konkurs oder Pfändungsbetrug (Art. 163)",1
"2012","Gläubigerschädigung durch Vermögensminderung (Art. 164)",1
"2012","Störung der Glaubens- + Kultusfreiheit (Art. 261)",0
"2012","Gewaltdarstellungen (Art. 135)",7
"2012","Schreckung der Bevölkerung (Art. 258)",0
"2012","Fahrlässige Gefährdung (Art. 225)",0
"2012","Verabreichen gesundheitsgefährdender Stoffe an Kinder (Art. 136)",3
"2012","Sexuelle Nötigung (Art. 189)",13
"2012","Störung von Betrieben, die der Allgemeinheit dienen (Art. 239)",1
"2012","Störung des Totenfriedens (Art. 262)",0
"2012","Fahrlässige Tötung (Art. 117)",1
"2012","Unwahre Angaben über kaufmännische Gewerbe (Art. 152)",0
"2012","Verletzung der Fürsorge-/Erziehungspflicht (Art. 219)",5
"2012","In Umlaufsetzen falschen Geldes (Art. 242)",3
"2012","Landfriedensbruch (Art. 260)",0
"2012","Störung des öffentlichen Verkehrs (Art. 237)",3
"2012","Gefährdung durch Verletzung der Regeln der Baukunde (Art. 229)",6
"2012","Störung des Eisenbahnverkehrs (Art. 238)",1
"2012","Urkundenfälschung im Amt (Art. 317)",0
"2012","Verletzung des Post-/Fernmeldegeheimnisses (Art. 321ter)",0
"2012","Warenfälschung (Art. 155)",0
"2012","Nachmachen von Banknoten, Münzen oder amtlichen Wertzeichen ohne Fälschungsabsicht (Art. 243)",0
"2012","Unrechtmässige Verwendung von Vermögenswerten (Art. 141bis)",0
"2012","Verletzung des Fabrikations- oder Geschäftsgeheimnisses (Art. 162)",1
"2012","Unbefugtes Aufnehmen von Gesprächen (Art. 179ter)",1
"2012","Unbefugtes Beschaffen von Personendaten (Art. 179novies)",0
"2012","Inzest (Art. 213)",0
"2012","Gefährdung durch Sprengstoffe + giftige Gase in verbrecherischer Absicht (Art. 224)",0
"2012","Geldfälschung (Art. 240)",3
"2012","Missachtung eines Tätigkeitsverbots oder eines Kontakt- + Rayonverbots - bis 2015 Übertretung eines Berufsverbotes (Art. 294)",0
"2012","Begünstigung (Art. 305)",1
"2012","Verletzung des Berufsgeheimnisses (Art. 321)",0
"2012","Ungehorsam dritter Personen im Betreibungs-, Konkurs- + Nachlassverfahren (Art. 324)",0
"2012","Vernachlässigung von Unterhaltspflichten (Art. 217)",6
"2012","Unterlassung der Nothilfe (Art. 128)",3
"2012","Ausnützung der Notlage (Art. 193)",0
"2012","Verweisungsbruch (Art. 291)",1
"2012","Check- + Kreditkartenmissbrauch (Art. 148)",0
"2012","Unterdrückung von Urkunden (Art. 254)",2
"2012","Diskriminierung + Aufruf zu Hass - bis 2020 Rassendiskriminierung (Art. 261bis)",0
"2012","Unbefugtes Tragen der militärischen Uniform (Art. 331)",0
"2012","Verleitung/Beihilfe zum Selbstmord (Art. 115)",0
"2012","Aussetzung (Art. 127)",1
"2012","Unrechtmässige Entziehung von Energie (Art. 142)",0
"2012","Wucher (Art. 157)",0
"2012","Missbrauch von Lohnabzügen (Art. 159)",0
"2012","Bevorzugung eines Gläubigers (Art. 167)",0
"2012","Abhören + Aufnehmen fremder Gespräche (Art. 179bis)",0
"2012","Erschwerende Umstände (Art. 184)",0
"2012","Geiselnahme (Art. 185)",0
"2012","Sexuelle Handlungen mit Abhängigen (Art. 188)",0
"2012","Förderung der Prostitution (Art. 195)",0
"2012","Entziehen von Minderjährigen (Art. 220)",0
"2012","Verursachung einer Explosion (Art. 223)",0
"2012","Verursachen Überschwemmung/Einsturz (Art. 227)",0
"2012","Beseitigung/Nichtanbringung von Sicherheitsvorrichtungen (Art. 230)",2
"2012","Verbreiten menschlicher Krankheiten (Art. 231)",1
"2012","Verunreinigung von Trinkwasser (Art. 234)",2
"2012","Einführen, Erwerben, Lagern falschen Geldes (Art. 244)",0
"2012","Fälschung amtlicher Wertzeichen (Art. 245)",0
"2012","Öffentliche Aufforderung zu Verbrechen oder zur Gewalttätigkeit (Art. 259)",0
"2012","Strafbare Vorbereitungshandlungen (260bis)",0
"2012","Kriminelle + terroristische Organisationen - bis 2021 Kriminelle Organisation (Art. 260ter)",0
"2012","Gefährdung der öffentlichen Sicherheit mit Waffen (Art. 260quater)",0
"2012","Angriffe auf die verfassungsmässige Ordnung (Art. 275)",0
"2012","Störung des Militärdienstes (Art. 278)",0
"2012","Störung/Hinderung von Wahlen/Abstimmungen (Art. 279)",0
"2012","Wahlfälschung (Art. 282)",0
"2012","Bruch amtlicher Beschlagnahme (Art. 289)",0
"2012","Siegelbruch (Art. 290)",1
"2012","Mangelnde Sorgfalt bei Finanzgeschäften + Melderecht (Art. 305ter)",0
"2012","Falsche Beweisaussage der Partei (Art. 306)",0
"2012","Falsches Zeugnis/Gutachten/falsche Übersetzung (Art. 307)",2
"2012","Befreiung von Gefangenen (Art. 310)",0
"2012","Amtsmissbrauch (Art. 312)",2
"2012","Ungetreue Amtsführung (Art. 314)",0
"2012","Entweichenlassen von Gefangenen (Art. 319)",0
"2012","Verletzung des Amtsgeheimnisses (Art. 320)",2
"2012","Passive Bestechung schweizerischer Amtsträger (Art. 322quater)",0
"2012","Vorteilsannahme (Art. 322sexies)",1
"2012","Übertretung firmen- + namensrechtlicher Bestimmungen (Art. 326ter)",0
"2013","Fahrzeugdiebstahl (Art. 139)",761
"2013","Betrug (Art. 146)",126
"2013","Hausfriedensbruch + Diebstahl (Art. 186)",752
"2013","Diebstahl (Art. 139)",649
"2013","Sachbeschädigung + Diebstahl (Art. 144)",687
"2013","Einbruchdiebstahl (Art. 139)",619
"2013","Sachbeschädigung (Art. 144)",484
"2013","Ladendiebstahl (Art. 139)",202
"2013","Betrügerischer Missbrauch einer Datenverarbeitungsanlage (Art. 147)",71
"2013","Tätlichkeiten (Art. 126)",177
"2013","Unbefugte Datenbeschaffung (Art. 143)",23
"2013","Diebstahl ab/aus Fahrzeug (Art. 139)",73
"2013","Urkundenfälschung (Art. 251)",40
"2013","Geldwäscherei (Art. 305bis)",3
"2013","Einschleichdiebstahl (Art. 139)",132
"2013","Fahrlässige Körperverletzung (Art. 125)",11
"2013","Hausfriedensbruch (Art. 186)",72
"2013","Einfache Körperverletzung (Art. 123)",98
"2013","Beschimpfung (Art. 177)",40
"2013","Pornografie (Art. 197)",26
"2013","Ungehorsam gegen amtliche Verfügungen (Art. 292)",41
"2013","Unterlassung der Buchführung (Art. 166)",5
"2013","Drohung (Art. 180)",133
"2013","Taschendiebstahl (Art. 139)",217
"2013","Fahrzeugeinbruchdiebstahl (Art. 139)",98
"2013","Erschleichen einer Leistung (Art. 150)",8
"2013","Gewalt + Drohung gegen Behörden + Beamte (Art. 285)",43
"2013","Ordnungswidrige Führung der Geschäftsbücher (Art. 325)",4
"2013","Veruntreuung (Art. 138)",57
"2013","Unrechtmässige Aneignung (Art. 137)",36
"2013","Fälschung von Ausweisen (Art. 252)",18
"2013","Nötigung (Art. 181)",24
"2013","Misswirtschaft (Art. 165)",1
"2013","Verletzung des Schriftgeheimnisses (Art. 179)",4
"2013","Missbrauch einer Fernmeldeanlage (Art. 179septies)",36
"2013","Sexuelle Belästigungen (Art. 198)",21
"2013","Datenbeschädigung (Art. 144bis)",5
"2013","Erpressung (Art. 156)",6
"2013","Beteiligung Angriff (Art. 134)",21
"2013","Verletzung des Geheim- oder Privatbereichs durch Aufnahmegeräte (Art. 179quater)",12
"2013","Sexuelle Handlungen mit Kindern (Art. 187)",15
"2013","Raub (Art. 140)",16
"2013","Hinderung einer Amtshandlung (Art. 286)",29
"2013","Ungehorsam des Schuldners im Betreibungs- + Konkursverfahren (Art. 323)",19
"2013","Ungetreue Geschäftsbesorgung (Art. 158)",4
"2013","Fahrlässige Verursachung einer Feuersbrunst (Art. 222)",17
"2013","Sachentziehung (Art. 141)",22
"2013","Verleumdung (Art. 174)",11
"2013","Trickdiebstahl (Art. 139)",46
"2013","Beteiligung Raufhandel (Art. 133)",16
"2013","Üble Nachrede (Art. 173)",12
"2013","Hehlerei (Art. 160)",11
"2013","Erschleichung einer falschen Beurkundung (Art. 253)",2
"2013","Gefährdung des Lebens (Art. 129)",6
"2013","Zechprellerei (Art. 149)",5
"2013","Vergewaltigung (Art. 190)",4
"2013","Unwahre Angaben gegenüber Handelsregisterbehörden (Art. 153)",2
"2013","Amtsanmassung (Art. 287)",2
"2013","Unbefugtes Eindringen in ein Datenverarbeitungssystem (Art. 143bis)",3
"2013","Falsche Anschuldigung (Art. 303)",12
"2013","Arglistige Vermögensschädigung (Art. 151)",0
"2013","Exhibitionismus (Art. 194)",10
"2013","Verfügung über mit Beschlag belegte Vermögenswerte (Art. 169)",3
"2013","Schändung (Art. 191)",2
"2013","Schwere Körperverletzung (Art. 122)",7
"2013","Tötungsdelikte (Art. 111 - 113/116)",0
"2013","Falscher Alarm (Art. 128bis)",2
"2013","Entreissdiebstahl (Art. 139)",8
"2013","Irreführung der Rechtspflege (Art. 304)",6
"2013","Freiheitsberaubung/Entführung (Art. 183)",2
"2013","Brandstiftung (Art. 221)",6
"2013","Betrügerischer Konkurs oder Pfändungsbetrug (Art. 163)",3
"2013","Gläubigerschädigung durch Vermögensminderung (Art. 164)",4
"2013","Störung der Glaubens- + Kultusfreiheit (Art. 261)",0
"2013","Gewaltdarstellungen (Art. 135)",4
"2013","Schreckung der Bevölkerung (Art. 258)",2
"2013","Fahrlässige Gefährdung (Art. 225)",3
"2013","Verabreichen gesundheitsgefährdender Stoffe an Kinder (Art. 136)",1
"2013","Sexuelle Nötigung (Art. 189)",9
"2013","Störung von Betrieben, die der Allgemeinheit dienen (Art. 239)",1
"2013","Störung des Totenfriedens (Art. 262)",1
"2013","Fahrlässige Tötung (Art. 117)",1
"2013","Unwahre Angaben über kaufmännische Gewerbe (Art. 152)",0
"2013","Verletzung der Fürsorge-/Erziehungspflicht (Art. 219)",11
"2013","In Umlaufsetzen falschen Geldes (Art. 242)",13
"2013","Landfriedensbruch (Art. 260)",5
"2013","Störung des öffentlichen Verkehrs (Art. 237)",3
"2013","Gefährdung durch Verletzung der Regeln der Baukunde (Art. 229)",2
"2013","Störung des Eisenbahnverkehrs (Art. 238)",1
"2013","Urkundenfälschung im Amt (Art. 317)",0
"2013","Verletzung des Post-/Fernmeldegeheimnisses (Art. 321ter)",1
"2013","Warenfälschung (Art. 155)",2
"2013","Nachmachen von Banknoten, Münzen oder amtlichen Wertzeichen ohne Fälschungsabsicht (Art. 243)",0
"2013","Unrechtmässige Verwendung von Vermögenswerten (Art. 141bis)",0
"2013","Verletzung des Fabrikations- oder Geschäftsgeheimnisses (Art. 162)",1
"2013","Unbefugtes Aufnehmen von Gesprächen (Art. 179ter)",1
"2013","Unbefugtes Beschaffen von Personendaten (Art. 179novies)",0
"2013","Inzest (Art. 213)",0
"2013","Gefährdung durch Sprengstoffe + giftige Gase in verbrecherischer Absicht (Art. 224)",0
"2013","Geldfälschung (Art. 240)",11
"2013","Missachtung eines Tätigkeitsverbots oder eines Kontakt- + Rayonverbots - bis 2015 Übertretung eines Berufsverbotes (Art. 294)",0
"2013","Begünstigung (Art. 305)",2
"2013","Verletzung des Berufsgeheimnisses (Art. 321)",1
"2013","Ungehorsam dritter Personen im Betreibungs-, Konkurs- + Nachlassverfahren (Art. 324)",0
"2013","Vernachlässigung von Unterhaltspflichten (Art. 217)",3
"2013","Unterlassung der Nothilfe (Art. 128)",0
"2013","Ausnützung der Notlage (Art. 193)",0
"2013","Verweisungsbruch (Art. 291)",0
"2013","Check- + Kreditkartenmissbrauch (Art. 148)",0
"2013","Unterdrückung von Urkunden (Art. 254)",1
"2013","Diskriminierung + Aufruf zu Hass - bis 2020 Rassendiskriminierung (Art. 261bis)",0
"2013","Unbefugtes Tragen der militärischen Uniform (Art. 331)",0
"2013","Verleitung/Beihilfe zum Selbstmord (Art. 115)",0
"2013","Aussetzung (Art. 127)",0
"2013","Unrechtmässige Entziehung von Energie (Art. 142)",0
"2013","Wucher (Art. 157)",0
"2013","Missbrauch von Lohnabzügen (Art. 159)",0
"2013","Bevorzugung eines Gläubigers (Art. 167)",2
"2013","Abhören + Aufnehmen fremder Gespräche (Art. 179bis)",0
"2013","Erschwerende Umstände (Art. 184)",0
"2013","Geiselnahme (Art. 185)",0
"2013","Sexuelle Handlungen mit Abhängigen (Art. 188)",0
"2013","Förderung der Prostitution (Art. 195)",1
"2013","Entziehen von Minderjährigen (Art. 220)",2
"2013","Verursachung einer Explosion (Art. 223)",0
"2013","Verursachen Überschwemmung/Einsturz (Art. 227)",0
"2013","Beseitigung/Nichtanbringung von Sicherheitsvorrichtungen (Art. 230)",2
"2013","Verbreiten menschlicher Krankheiten (Art. 231)",1
"2013","Verunreinigung von Trinkwasser (Art. 234)",0
"2013","Einführen, Erwerben, Lagern falschen Geldes (Art. 244)",0
"2013","Fälschung amtlicher Wertzeichen (Art. 245)",0
"2013","Öffentliche Aufforderung zu Verbrechen oder zur Gewalttätigkeit (Art. 259)",0
"2013","Strafbare Vorbereitungshandlungen (260bis)",0
"2013","Kriminelle + terroristische Organisationen - bis 2021 Kriminelle Organisation (Art. 260ter)",0
"2013","Gefährdung der öffentlichen Sicherheit mit Waffen (Art. 260quater)",0
"2013","Angriffe auf die verfassungsmässige Ordnung (Art. 275)",0
"2013","Störung des Militärdienstes (Art. 278)",0
"2013","Störung/Hinderung von Wahlen/Abstimmungen (Art. 279)",0
"2013","Wahlfälschung (Art. 282)",0
"2013","Bruch amtlicher Beschlagnahme (Art. 289)",0
"2013","Siegelbruch (Art. 290)",0
"2013","Mangelnde Sorgfalt bei Finanzgeschäften + Melderecht (Art. 305ter)",1
"2013","Falsche Beweisaussage der Partei (Art. 306)",0
"2013","Falsches Zeugnis/Gutachten/falsche Übersetzung (Art. 307)",0
"2013","Befreiung von Gefangenen (Art. 310)",0
"2013","Amtsmissbrauch (Art. 312)",1
"2013","Ungetreue Amtsführung (Art. 314)",1
"2013","Entweichenlassen von Gefangenen (Art. 319)",1
"2013","Verletzung des Amtsgeheimnisses (Art. 320)",1
"2013","Passive Bestechung schweizerischer Amtsträger (Art. 322quater)",0
"2013","Vorteilsannahme (Art. 322sexies)",0
"2013","Übertretung firmen- + namensrechtlicher Bestimmungen (Art. 326ter)",0
"2014","Fahrzeugdiebstahl (Art. 139)",897
"2014","Betrug (Art. 146)",103
"2014","Hausfriedensbruch + Diebstahl (Art. 186)",869
"2014","Diebstahl (Art. 139)",575
"2014","Sachbeschädigung + Diebstahl (Art. 144)",772
"2014","Einbruchdiebstahl (Art. 139)",753
"2014","Sachbeschädigung (Art. 144)",495
"2014","Ladendiebstahl (Art. 139)",204
"2014","Betrügerischer Missbrauch einer Datenverarbeitungsanlage (Art. 147)",57
"2014","Tätlichkeiten (Art. 126)",127
"2014","Unbefugte Datenbeschaffung (Art. 143)",5
"2014","Diebstahl ab/aus Fahrzeug (Art. 139)",72
"2014","Urkundenfälschung (Art. 251)",51
"2014","Geldwäscherei (Art. 305bis)",1
"2014","Einschleichdiebstahl (Art. 139)",120
"2014","Fahrlässige Körperverletzung (Art. 125)",9
"2014","Hausfriedensbruch (Art. 186)",79
"2014","Einfache Körperverletzung (Art. 123)",89
"2014","Beschimpfung (Art. 177)",43
"2014","Pornografie (Art. 197)",35
"2014","Ungehorsam gegen amtliche Verfügungen (Art. 292)",43
"2014","Unterlassung der Buchführung (Art. 166)",7
"2014","Drohung (Art. 180)",103
"2014","Taschendiebstahl (Art. 139)",133
"2014","Fahrzeugeinbruchdiebstahl (Art. 139)",59
"2014","Erschleichen einer Leistung (Art. 150)",16
"2014","Gewalt + Drohung gegen Behörden + Beamte (Art. 285)",26
"2014","Ordnungswidrige Führung der Geschäftsbücher (Art. 325)",7
"2014","Veruntreuung (Art. 138)",28
"2014","Unrechtmässige Aneignung (Art. 137)",32
"2014","Fälschung von Ausweisen (Art. 252)",23
"2014","Nötigung (Art. 181)",22
"2014","Misswirtschaft (Art. 165)",4
"2014","Verletzung des Schriftgeheimnisses (Art. 179)",16
"2014","Missbrauch einer Fernmeldeanlage (Art. 179septies)",34
"2014","Sexuelle Belästigungen (Art. 198)",32
"2014","Datenbeschädigung (Art. 144bis)",4
"2014","Erpressung (Art. 156)",5
"2014","Beteiligung Angriff (Art. 134)",4
"2014","Verletzung des Geheim- oder Privatbereichs durch Aufnahmegeräte (Art. 179quater)",5
"2014","Sexuelle Handlungen mit Kindern (Art. 187)",10
"2014","Raub (Art. 140)",16
"2014","Hinderung einer Amtshandlung (Art. 286)",32
"2014","Ungehorsam des Schuldners im Betreibungs- + Konkursverfahren (Art. 323)",37
"2014","Ungetreue Geschäftsbesorgung (Art. 158)",4
"2014","Fahrlässige Verursachung einer Feuersbrunst (Art. 222)",16
"2014","Sachentziehung (Art. 141)",10
"2014","Verleumdung (Art. 174)",9
"2014","Trickdiebstahl (Art. 139)",35
"2014","Beteiligung Raufhandel (Art. 133)",36
"2014","Üble Nachrede (Art. 173)",8
"2014","Hehlerei (Art. 160)",4
"2014","Erschleichung einer falschen Beurkundung (Art. 253)",0
"2014","Gefährdung des Lebens (Art. 129)",8
"2014","Zechprellerei (Art. 149)",6
"2014","Vergewaltigung (Art. 190)",5
"2014","Unwahre Angaben gegenüber Handelsregisterbehörden (Art. 153)",0
"2014","Amtsanmassung (Art. 287)",0
"2014","Unbefugtes Eindringen in ein Datenverarbeitungssystem (Art. 143bis)",10
"2014","Falsche Anschuldigung (Art. 303)",6
"2014","Arglistige Vermögensschädigung (Art. 151)",2
"2014","Exhibitionismus (Art. 194)",19
"2014","Verfügung über mit Beschlag belegte Vermögenswerte (Art. 169)",5
"2014","Schändung (Art. 191)",1
"2014","Schwere Körperverletzung (Art. 122)",10
"2014","Tötungsdelikte (Art. 111 - 113/116)",0
"2014","Falscher Alarm (Art. 128bis)",9
"2014","Entreissdiebstahl (Art. 139)",1
"2014","Irreführung der Rechtspflege (Art. 304)",11
"2014","Freiheitsberaubung/Entführung (Art. 183)",1
"2014","Brandstiftung (Art. 221)",17
"2014","Betrügerischer Konkurs oder Pfändungsbetrug (Art. 163)",6
"2014","Gläubigerschädigung durch Vermögensminderung (Art. 164)",0
"2014","Störung der Glaubens- + Kultusfreiheit (Art. 261)",0
"2014","Gewaltdarstellungen (Art. 135)",4
"2014","Schreckung der Bevölkerung (Art. 258)",1
"2014","Fahrlässige Gefährdung (Art. 225)",2
"2014","Verabreichen gesundheitsgefährdender Stoffe an Kinder (Art. 136)",2
"2014","Sexuelle Nötigung (Art. 189)",15
"2014","Störung von Betrieben, die der Allgemeinheit dienen (Art. 239)",2
"2014","Störung des Totenfriedens (Art. 262)",0
"2014","Fahrlässige Tötung (Art. 117)",0
"2014","Unwahre Angaben über kaufmännische Gewerbe (Art. 152)",0
"2014","Verletzung der Fürsorge-/Erziehungspflicht (Art. 219)",4
"2014","In Umlaufsetzen falschen Geldes (Art. 242)",10
"2014","Landfriedensbruch (Art. 260)",0
"2014","Störung des öffentlichen Verkehrs (Art. 237)",3
"2014","Gefährdung durch Verletzung der Regeln der Baukunde (Art. 229)",3
"2014","Störung des Eisenbahnverkehrs (Art. 238)",6
"2014","Urkundenfälschung im Amt (Art. 317)",0
"2014","Verletzung des Post-/Fernmeldegeheimnisses (Art. 321ter)",0
"2014","Warenfälschung (Art. 155)",0
"2014","Nachmachen von Banknoten, Münzen oder amtlichen Wertzeichen ohne Fälschungsabsicht (Art. 243)",0
"2014","Unrechtmässige Verwendung von Vermögenswerten (Art. 141bis)",0
"2014","Verletzung des Fabrikations- oder Geschäftsgeheimnisses (Art. 162)",0
"2014","Unbefugtes Aufnehmen von Gesprächen (Art. 179ter)",0
"2014","Unbefugtes Beschaffen von Personendaten (Art. 179novies)",0
"2014","Inzest (Art. 213)",0
"2014","Gefährdung durch Sprengstoffe + giftige Gase in verbrecherischer Absicht (Art. 224)",0
"2014","Geldfälschung (Art. 240)",11
"2014","Missachtung eines Tätigkeitsverbots oder eines Kontakt- + Rayonverbots - bis 2015 Übertretung eines Berufsverbotes (Art. 294)",0
"2014","Begünstigung (Art. 305)",5
"2014","Verletzung des Berufsgeheimnisses (Art. 321)",0
"2014","Ungehorsam dritter Personen im Betreibungs-, Konkurs- + Nachlassverfahren (Art. 324)",0
"2014","Vernachlässigung von Unterhaltspflichten (Art. 217)",3
"2014","Unterlassung der Nothilfe (Art. 128)",2
"2014","Ausnützung der Notlage (Art. 193)",0
"2014","Verweisungsbruch (Art. 291)",0
"2014","Check- + Kreditkartenmissbrauch (Art. 148)",0
"2014","Unterdrückung von Urkunden (Art. 254)",1
"2014","Diskriminierung + Aufruf zu Hass - bis 2020 Rassendiskriminierung (Art. 261bis)",1
"2014","Unbefugtes Tragen der militärischen Uniform (Art. 331)",0
"2014","Verleitung/Beihilfe zum Selbstmord (Art. 115)",0
"2014","Aussetzung (Art. 127)",1
"2014","Unrechtmässige Entziehung von Energie (Art. 142)",0
"2014","Wucher (Art. 157)",0
"2014","Missbrauch von Lohnabzügen (Art. 159)",0
"2014","Bevorzugung eines Gläubigers (Art. 167)",0
"2014","Abhören + Aufnehmen fremder Gespräche (Art. 179bis)",2
"2014","Erschwerende Umstände (Art. 184)",0
"2014","Geiselnahme (Art. 185)",0
"2014","Sexuelle Handlungen mit Abhängigen (Art. 188)",0
"2014","Förderung der Prostitution (Art. 195)",0
"2014","Entziehen von Minderjährigen (Art. 220)",5
"2014","Verursachung einer Explosion (Art. 223)",0
"2014","Verursachen Überschwemmung/Einsturz (Art. 227)",0
"2014","Beseitigung/Nichtanbringung von Sicherheitsvorrichtungen (Art. 230)",0
"2014","Verbreiten menschlicher Krankheiten (Art. 231)",0
"2014","Verunreinigung von Trinkwasser (Art. 234)",0
"2014","Einführen, Erwerben, Lagern falschen Geldes (Art. 244)",0
"2014","Fälschung amtlicher Wertzeichen (Art. 245)",0
"2014","Öffentliche Aufforderung zu Verbrechen oder zur Gewalttätigkeit (Art. 259)",0
"2014","Strafbare Vorbereitungshandlungen (260bis)",1
"2014","Kriminelle + terroristische Organisationen - bis 2021 Kriminelle Organisation (Art. 260ter)",2
"2014","Gefährdung der öffentlichen Sicherheit mit Waffen (Art. 260quater)",1
"2014","Angriffe auf die verfassungsmässige Ordnung (Art. 275)",0
"2014","Störung des Militärdienstes (Art. 278)",0
"2014","Störung/Hinderung von Wahlen/Abstimmungen (Art. 279)",0
"2014","Wahlfälschung (Art. 282)",0
"2014","Bruch amtlicher Beschlagnahme (Art. 289)",0
"2014","Siegelbruch (Art. 290)",0
"2014","Mangelnde Sorgfalt bei Finanzgeschäften + Melderecht (Art. 305ter)",0
"2014","Falsche Beweisaussage der Partei (Art. 306)",0
"2014","Falsches Zeugnis/Gutachten/falsche Übersetzung (Art. 307)",0
"2014","Befreiung von Gefangenen (Art. 310)",1
"2014","Amtsmissbrauch (Art. 312)",2
"2014","Ungetreue Amtsführung (Art. 314)",1
"2014","Entweichenlassen von Gefangenen (Art. 319)",0
"2014","Verletzung des Amtsgeheimnisses (Art. 320)",0
"2014","Passive Bestechung schweizerischer Amtsträger (Art. 322quater)",0
"2014","Vorteilsannahme (Art. 322sexies)",0
"2014","Übertretung firmen- + namensrechtlicher Bestimmungen (Art. 326ter)",0
"2015","Fahrzeugdiebstahl (Art. 139)",789
"2015","Betrug (Art. 146)",125
"2015","Hausfriedensbruch + Diebstahl (Art. 186)",645
"2015","Diebstahl (Art. 139)",491
"2015","Sachbeschädigung + Diebstahl (Art. 144)",579
"2015","Einbruchdiebstahl (Art. 139)",554
"2015","Sachbeschädigung (Art. 144)",403
"2015","Ladendiebstahl (Art. 139)",148
"2015","Betrügerischer Missbrauch einer Datenverarbeitungsanlage (Art. 147)",59
"2015","Tätlichkeiten (Art. 126)",170
"2015","Unbefugte Datenbeschaffung (Art. 143)",25
"2015","Diebstahl ab/aus Fahrzeug (Art. 139)",62
"2015","Urkundenfälschung (Art. 251)",57
"2015","Geldwäscherei (Art. 305bis)",3
"2015","Einschleichdiebstahl (Art. 139)",104
"2015","Fahrlässige Körperverletzung (Art. 125)",17
"2015","Hausfriedensbruch (Art. 186)",71
"2015","Einfache Körperverletzung (Art. 123)",73
"2015","Beschimpfung (Art. 177)",35
"2015","Pornografie (Art. 197)",17
"2015","Ungehorsam gegen amtliche Verfügungen (Art. 292)",41
"2015","Unterlassung der Buchführung (Art. 166)",10
"2015","Drohung (Art. 180)",98
"2015","Taschendiebstahl (Art. 139)",120
"2015","Fahrzeugeinbruchdiebstahl (Art. 139)",63
"2015","Erschleichen einer Leistung (Art. 150)",15
"2015","Gewalt + Drohung gegen Behörden + Beamte (Art. 285)",28
"2015","Ordnungswidrige Führung der Geschäftsbücher (Art. 325)",15
